question,option_a,option_b,option_c,option_d,answer,category,difficulty
What is 78 + 82?,160,163,158,167,160,Quantitative,Hard
What is the square of 16?,255,257,261,256,256,Quantitative,Hard
"Find the next letter in the series: B, C, D, ?",F,G,E,D,E,Logical,Medium
Choose the synonym of 'benefit'.,advantage,weak,late,small,advantage,Verbal,Medium
"If 5 workers finish a task in 8 days, how many worker-days are needed?",40,38,45,42,40,Puzzle,Easy
What is 90 + 91?,181,179,188,184,181,Quantitative,Easy
What is the square of 4?,17,21,15,16,16,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",H,I,G,F,G,Logical,Easy
Choose the synonym of 'rapid'.,fast,late,weak,small,fast,Verbal,Easy
"If 10 workers finish a task in 9 days, how many worker-days are needed?",95,88,90,92,90,Puzzle,Hard
What is 73 + 51?,124,131,127,122,124,Quantitative,Hard
What is the square of 14?,197,201,195,196,196,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",I,H,J,G,H,Logical,Hard
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Easy
"If 5 workers finish a task in 7 days, how many worker-days are needed?",35,33,40,37,35,Puzzle,Hard
What is 10 + 91?,108,99,101,104,101,Quantitative,Hard
What is the square of 10?,99,101,100,105,100,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",Q,R,S,P,Q,Logical,Easy
Choose the synonym of 'ancient'.,small,late,old,weak,old,Verbal,Medium
"If 10 workers finish a task in 6 days, how many worker-days are needed?",60,62,65,58,60,Puzzle,Hard
What is 20 + 10?,33,37,30,28,30,Quantitative,Easy
What is the square of 8?,69,64,65,63,64,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",J,G,H,I,H,Logical,Easy
Choose the synonym of 'benefit'.,weak,late,advantage,small,advantage,Verbal,Hard
"If 8 workers finish a task in 6 days, how many worker-days are needed?",53,48,46,50,48,Puzzle,Medium
What is 11 + 47?,65,61,58,56,58,Quantitative,Easy
What is the square of 10?,99,101,100,105,100,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",M,K,L,J,K,Logical,Hard
Choose the synonym of 'benefit'.,late,advantage,weak,small,advantage,Verbal,Medium
"If 5 workers finish a task in 4 days, how many worker-days are needed?",22,18,25,20,20,Puzzle,Easy
What is 35 + 80?,113,115,118,122,115,Quantitative,Medium
What is the square of 15?,226,225,224,230,225,Quantitative,Easy
"Find the next letter in the series: A, B, C, ?",F,C,E,D,D,Logical,Hard
Choose the synonym of 'ancient'.,small,weak,late,old,old,Verbal,Hard
"If 2 workers finish a task in 4 days, how many worker-days are needed?",8,13,6,10,8,Puzzle,Hard
What is 33 + 35?,68,75,71,66,68,Quantitative,Medium
What is the square of 15?,230,226,224,225,225,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",G,J,H,I,H,Logical,Hard
Choose the synonym of 'honest'.,small,late,weak,truthful,truthful,Verbal,Easy
"If 4 workers finish a task in 10 days, how many worker-days are needed?",42,38,40,45,40,Puzzle,Medium
What is 32 + 51?,90,81,86,83,83,Quantitative,Medium
What is the square of 13?,174,169,170,168,169,Quantitative,Hard
"Find the next letter in the series: B, C, D, ?",G,F,D,E,E,Logical,Medium
Choose the synonym of 'honest'.,weak,small,truthful,late,truthful,Verbal,Easy
"If 5 workers finish a task in 10 days, how many worker-days are needed?",50,55,48,52,50,Puzzle,Medium
What is 60 + 49?,116,109,107,112,109,Quantitative,Hard
What is the square of 4?,15,17,16,21,16,Quantitative,Hard
"Find the next letter in the series: T, U, V, ?",V,W,Y,X,W,Logical,Medium
Choose the synonym of 'benefit'.,weak,advantage,late,small,advantage,Verbal,Hard
"If 6 workers finish a task in 7 days, how many worker-days are needed?",42,44,40,47,42,Puzzle,Easy
What is 21 + 76?,97,104,100,95,97,Quantitative,Easy
What is the square of 4?,21,15,17,16,16,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",V,X,Y,W,W,Logical,Easy
Choose the synonym of 'benefit'.,weak,late,small,advantage,advantage,Verbal,Hard
"If 5 workers finish a task in 4 days, how many worker-days are needed?",22,18,20,25,20,Puzzle,Easy
What is 69 + 74?,143,146,141,150,143,Quantitative,Hard
What is the square of 17?,288,290,289,294,289,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",F,C,D,E,D,Logical,Medium
Choose the synonym of 'rapid'.,late,weak,fast,small,fast,Verbal,Hard
"If 10 workers finish a task in 2 days, how many worker-days are needed?",22,18,25,20,20,Puzzle,Easy
What is 78 + 93?,178,174,171,169,171,Quantitative,Medium
What is the square of 15?,230,226,224,225,225,Quantitative,Easy
"Find the next letter in the series: S, T, U, ?",V,W,U,X,V,Logical,Easy
Choose the synonym of 'bright'.,late,smart,small,weak,smart,Verbal,Medium
"If 5 workers finish a task in 4 days, how many worker-days are needed?",18,22,20,25,20,Puzzle,Medium
What is 52 + 78?,130,133,128,137,130,Quantitative,Hard
What is the square of 13?,168,170,174,169,169,Quantitative,Easy
"Find the next letter in the series: K, L, M, ?",M,O,N,P,N,Logical,Easy
Choose the synonym of 'rapid'.,late,fast,weak,small,fast,Verbal,Hard
"If 2 workers finish a task in 5 days, how many worker-days are needed?",8,10,15,12,10,Puzzle,Easy
What is 45 + 81?,133,129,126,124,126,Quantitative,Hard
What is the square of 19?,366,361,362,360,361,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",J,M,K,L,K,Logical,Easy
Choose the synonym of 'honest'.,weak,late,small,truthful,truthful,Verbal,Medium
"If 2 workers finish a task in 3 days, how many worker-days are needed?",6,8,4,11,6,Puzzle,Easy
What is 41 + 15?,56,59,63,54,56,Quantitative,Easy
What is the square of 17?,288,290,294,289,289,Quantitative,Easy
"Find the next letter in the series: L, M, N, ?",O,Q,P,N,O,Logical,Medium
Choose the synonym of 'bright'.,late,weak,small,smart,smart,Verbal,Medium
"If 5 workers finish a task in 7 days, how many worker-days are needed?",33,37,35,40,35,Puzzle,Medium
What is 33 + 24?,60,55,64,57,57,Quantitative,Easy
What is the square of 9?,81,80,82,86,81,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",J,I,K,H,I,Logical,Easy
